पुस्तकाचे नाव,लेखक,प्रकाशक,किंमत,सवलतीत किंमत
साहेबी जगात,गिरीश कुबेर,राजहंस प्रकाशन,400,300
पडद्यावरचे विश्वभान,संजय भास्कर जोशी,मौज प्रकाशन,350,280
द ग्रेट कांचना सर्कस,विश्वास पाटील,मॅजेस्टिक,550,440
ज्ञानदेव आणि ज्ञानदेवी,रा.चिं. ढेरे,श्रीविद्या प्रकाशन,400,300
बोधाचा जोडला तारा,मिलिंद बोकील,साधना प्रकाशन,350,280
अखेरीस नयनाची गोष्ट,श्याम मनोहर,पॉप्युलर प्रकाशन,695,520
वेदांचा तो अर्थ,रवींद्र गोडबोले,देशमुख आणि कंपनी,500,400
गुरु : एका योगियाचे तुरीयातीत स्वप्न,नितीन कोत्तापल्ले,सायन,600,480
खोटं खोटं पण खरं,रवींद्र दामोदर लाखे,राजहंस प्रकाशन,220,175
निवेदन,धर्मानंद कोसंबी,साधना,250,200
शहाणा असशील तर लिहू नकोस...,लोकेश शेवडे,राजहंस प्रकाशन,340,270
या सम हा,डॉ. सदानंद मोरे,मनोविकास,350,265
खानदेशी वह्या,भालचंद्र नेमाडे,मॅजेस्टिक,300,255
वेध महामानवाचा,डॉ. श्रीनिवास सामंत,देशमुख आणि कंपनी,800,600
पत्र आणि मैत्र | वाणी आणि लेखणी,दिलीप माजगावकर,राजहंस प्रकाशन,1000,750
माझा जीवनविहार | माझा संगीत व्यासंग | गायनमहर्षी अल्लादियाखाँ यांचे चरित्र | जीवन व्यासंग | रंगाचार्य,गोविंदराव टेंबे,सुधीर पोटे,2000,1700
सत्य सत्ता आणि साहित्य : जयंत पवार,नीतीन रिंढे व प्रफुल्ल शिलेदार,पपायरस,650,520
ब्रह्मांडनायक,प्रा. डॉ. यशवंत पाटील,सकाळ,699,525
समर्थ मालिका : समर्थांची ओळख | समर्थांना आव्हान | समर्थांचा विजय,नारायण धारप,रोहन प्रकाशन,1500,1130
द गोरखपूर हॉस्पिटल ट्रॅजेडी,डॉ. कफील खान (अनु: राजेंद्र साठे),मनोविकास,330,260
भारतीय सरिताकोश : खंड 01 ते 04,श.म. भालेराव,डायमंड,12000,8400
अपराजिता : गाथा भारतीय वीरांगनांची | शौर्य | प्रशासन | स्वातंत्र्य,मेजर मोहिनी गर्गे-कुलकर्णी,मिहाना,750,600
वाचनदीपिका,डॉ. मंगला वरखेडे,महाराष्ट्र राज्य साहित्य आणि संस्कृती मंडळ,349,260
राजतरंगिणी : काश्मिरी राजांची गाथा – भाग 01 व 02,अनु: अरुणा ढेरे – प्रशांत तळणीकर,चिनार,1700,1275
छत्रपती शिवाजी महाराज : पूर्वार्ध व उत्तरार्ध,श्री. वा.सी. बेंद्रे,मराठीदेशा,2400,1800
